Order/PO Number,External ID,Model number,ASIN,Merchant SKU,Title,List price,Discount,Cost,Quantity Ordered,Previously Confirmed Quantity,Quantity Confirmed,Quantity Canceled,Quantity Received,Hand Off Start,Hand Off End,Hand Off Type,Expected Hand Off Date,Availability Status,Error From Previous Upload Attempt,Vendor code,Fulfillment Center,Consolidation ID,Condition,Order date,Is Back Order,Freight terms,Payment Method,Special Instructions,Comments,Legal Entity Id,Currency code,External ID type,Item Package Quantity,Aggregate Quantity,Merchant Customer ID,Merchant Sku ratio,Priority
69VED3RS,6221319313542,2125129303,B0F43Z9DRD,,junior Printed Beanie,EGP 341.23,35%,222.37,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319321158,2125360818,B0F43ZB2J6,,junior Printed Dress,EGP 613.16,35%,399.12,4,,4,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319328911,2125181703,B0F43ZCVYX,,"junior Pajama Set (T-Shirt & Printed Pants), 24",EGP 481.58,35%,313.6,3,,3,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319311210,2125120324,B0F43ZD6P9,,"Junior Baby Casual T-Shirt & Jogger Pants Set, 24 Months",EGP 460.53,35%,299.34,5,,5,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319311371,2125121109,B0F43ZDSC4,,"Junior Baby Boy T-Shirt & Shorts Set, 6-9 Months",EGP 507.90,35%,327.85,4,,4,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319311227,2125120403,B0F43ZGHTR,,"junior Baby Hooded Receiving Blanket, 3 Months",EGP 341.23,35%,222.37,16,,16,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319315737,2125176603,B0F43ZGVX2,,"junior Pajama Set (T-Shirt & Printed Short), 24",EGP 507.90,35%,327.85,4,,4,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319315140,2125174203,B0F43ZJRRJ,,"junior Printed Romper, 9",EGP 104.39,34%,68.42,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319319841,2125340808,B0F43ZL61Y,,junior Printed Dress,EGP 551.76,35%,356.36,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319315393,2125175103,B0F43ZM1R2,,"junior Printed Romper, 6 Years",EGP 153.51,35%,99.78,7,,7,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
